IDs,length,Exptl.,resolution,R-factor,FreeRvalue
3RENA,350,XRAY,2,0.17,0.22
3RETA,101,XRAY,1.79,0.21,0.26
3RF0A,209,XRAY,1.8,0.18,0.23
3RF3A,258,XRAY,1.61,0.18,0.2
3RF3C,29,XRAY,1.61,0.18,0.2
3RFEA,130,XRAY,1.245,0.2,0.22
3RFIA,108,XRAY,1.9,0.19,0.25
3RFTA,267,XRAY,1.9,0.15,0.17
3RG9A,240,XRAY,2,0.18,0.22
3RGAA,283,XRAY,1.59,0.17,0.19
3RGOA,157,XRAY,1.928,0.23,0.24
3RHBA,113,XRAY,1.2,0.15,0.18
3RHGA,365,XRAY,1.53,0.12,0.16
3RHTA,259,XRAY,1.83,0.16,0.19
3RHZA,339,XRAY,1.898,0.18,0.22
3RIOA,180,XRAY,1.99,0.21,0.25
3RIQA,543,XRAY,1.5,0.13,0.17
3RJPA,96,XRAY,1.5,0.2,0.22
3RJTA,216,XRAY,1.5,0.13,0.15
3RJUA,351,XRAY,1.5,0.14,0.17
3RJVA,212,XRAY,1.65,0.17,0.19
3RK6A,234,XRAY,2,0.19,0.24
3RKCA,148,XRAY,1.79,0.15,0.19
3RKGA,261,XRAY,1.28,0.17,0.2
3RKLA,87,XRAY,1.7,0.17,0.2
3RL5A,296,XRAY,1.26,0.15,0.17
3RLGA,302,XRAY,1.6,0.17,0.2
3RLKA,192,XRAY,1.76,0.18,0.24
3RLOA,204,XRAY,1.8,0.17,0.19
3RLSA,175,XRAY,1.7,0.16,0.2
3RM3A,270,XRAY,1.2,0.14,0.16
3RMHA,149,XRAY,1.902,0.21,0.24
3RMJA,370,XRAY,1.95,0.16,0.19
3RMQA,116,XRAY,1.85,0.16,0.19
3RMUA,134,XRAY,1.8,0.19,0.24
3RNJA,67,XRAY,1.5,0.2,0.22
3RNLA,311,XRAY,1.752,0.16,0.18
3RNQA,117,XRAY,1.6,0.18,0.21
3RNQB,201,XRAY,1.6,0.18,0.21
3RNRA,211,XRAY,2,0.17,0.2
3RNVA,158,XRAY,2,0.25,0.27
3RO0A,223,XRAY,1.5,0.18,0.2
3RO3A,164,XRAY,1.1,0.12,0.15
3RO3B,22,XRAY,1.1,0.12,0.15
3RO8A,341,XRAY,1.34,0.14,0.18
3ROBA,139,XRAY,1.48,0.17,0.19
3ROFA,158,XRAY,1.03,0.15,0.17
3ROTA,297,XRAY,1.91,0.24,0.25
3RP8A,407,XRAY,1.968,0.19,0.23
3RPCA,264,XRAY,1.49,0.16,0.18
3RPDA,357,XRAY,1.5,0.17,0.19
3RPEA,218,XRAY,1.1,0.1,0.12
3RPFA,148,XRAY,1.9,0.2,0.24
3RPFC,74,XRAY,1.9,0.2,0.24
3RPJA,134,XRAY,1.9,0.18,0.21
3RPPA,234,XRAY,1.8,0.15,0.2
3RPWA,365,XRAY,1.65,0.17,0.2
3RPZA,279,XRAY,1.51,0.14,0.15
3RQ4A,247,XRAY,1.8,0.18,0.22
3RQ9A,85,XRAY,1,0.15,0.18
3RQIA,184,XRAY,1.7,0.21,0.24
3RQTA,486,XRAY,1.5,0.14,0.17
3RQZA,246,XRAY,1.95,0.12,0.15
3RR1A,405,XRAY,1.95,0.14,0.17
3RR6A,265,XRAY,1.58,0.17,0.18
3RRIA,135,XRAY,1.5,0.14,0.16
3RRSA,822,XRAY,1.7,0.18,0.21
3RS1A,122,XRAY,1.94,0.19,1
3RSIA,265,XRAY,2,0.15,0.2
3RT2A,183,XRAY,1.5,0.17,0.21
3RTAA,502,XRAY,1.95,0.16,0.19
3RTLA,121,XRAY,1.453,0.18,0.22
3RU6A,303,XRAY,1.8,0.17,0.2
3RUFA,351,XRAY,2,0.21,0.25
3RUIA,340,XRAY,1.906,0.19,0.22
3RV1A,246,XRAY,1.975,0.2,0.24
3RVAA,451,XRAY,1.8,0.16,1
3RVCA,152,XRAY,1.8,0.2,0.24
3RWBA,247,XRAY,1.699,0.14,0.17
3RWLA,426,XRAY,2,0.16,0.2
3RWNA,161,XRAY,1,0.13,0.14
3RWOB,185,XRAY,1.7,0.17,0.2
3RX9A,155,XRAY,1.35,0.14,0.16
3RXYA,278,XRAY,2,0.21,0.23
3RY0A,65,XRAY,1.4,0.22,0.25
3RY4A,170,XRAY,1.5,0.2,0.23
3RYKA,205,XRAY,1.631,0.12,0.16
3RZIA,462,XRAY,1.95,0.15,0.17
3RZNA,209,XRAY,1.1,0.14,0.16
3S0AA,119,XRAY,1.15,0.16,0.18
3S1XA,223,XRAY,1.65,0.17,0.2
3S21A,345,XRAY,1.7,0.18,0.21
3S25A,302,XRAY,1.88,0.16,0.18
3S2EA,340,XRAY,1.763,0.17,0.19
3S2JA,400,XRAY,1.297,0.17,0.18
3S2RA,83,XRAY,1.14,0.19,0.2
3S3TA,146,XRAY,1.9,0.17,0.22
3S44A,399,XRAY,1.45,0.19,0.21
3S46A,367,XRAY,2,0.17,0.2
3S4EA,144,XRAY,1.26,0.15,0.18
3S4KA,144,XRAY,1.7,0.17,0.2
3S4YA,247,XRAY,1.8,0.17,0.2
3S57A,204,XRAY,1.6,0.22,0.2
3S5BA,249,XRAY,1.796,0.17,0.21
3S5MA,1193,XRAY,1.55,0.19,0.21
3S5OA,307,XRAY,1.97,0.2,0.22
3S5QA,214,XRAY,1.85,0.17,0.2
3S5WA,463,XRAY,1.9,0.19,0.22
3S69A,234,XRAY,1.43,0.19,0.2
3S6EA,114,XRAY,0.95,0.12,0.13
3S6FA,145,XRAY,1.19,0.14,0.15
3S6MA,167,XRAY,1.651,0.15,0.18
3S6WA,54,XRAY,1.78,0.18,0.21
3S83A,259,XRAY,1.34,0.17,0.2
3S8GA,569,XRAY,1.8,0.18,0.2
3S8GC,34,XRAY,1.8,0.18,0.2
3S8IA,148,XRAY,1.7,0.18,0.2
3S8KA,184,XRAY,1.7,0.18,0.2
3S8MA,422,XRAY,1.6,0.19,0.2
3S8SA,110,XRAY,1.3,0.17,0.2
3S95A,310,XRAY,1.65,0.16,0.18
3S98A,306,XRAY,1.9,0.21,0.23
3S9DA,168,XRAY,2,0.2,0.23
3S9DB,199,XRAY,2,0.2,0.23
3S9JA,369,XRAY,1.75,0.14,0.17
3S9UA,165,XRAY,1.9,0.22,0.22
3S9XA,159,XRAY,1.35,0.14,0.17
3SAOA,160,XRAY,1.8,0.2,0.23
3SB1A,160,XRAY,1.67,0.17,0.2
3SB4A,329,XRAY,1.99,0.17,0.2
3SBMA,281,XRAY,1.35,0.16,0.17
3SBTB,363,XRAY,1.799,0.17,0.2
3SC0A,241,XRAY,1.95,0.21,0.24
3SC7X,516,XRAY,1.5,0.19,0.21
3SCYA,361,XRAY,1.5,0.17,0.18
3SD2A,101,XRAY,1.4,0.16,0.2
3SD4A,69,XRAY,1.928,0.23,0.24
3SD7A,240,XRAY,1.7,0.17,0.19
3SDEA,261,XRAY,1.9,0.18,0.23
3SDOA,453,XRAY,2,0.17,0.21
3SDRA,817,XRAY,1.86,0.18,0.21
3SEBA,238,XRAY,1.48,0.18,1
3SEEA,222,XRAY,1.25,0.13,0.15
3SFVB,344,XRAY,1.73,0.19,0.23
3SFWA,461,XRAY,1.73,0.15,0.19
3SFXA,349,XRAY,2,0.18,0.2
3SFXB,520,XRAY,2,0.18,0.2
3SG0A,386,XRAY,1.201,0.15,0.16
3SG8A,304,XRAY,1.8,0.19,0.24
3SGGA,536,XRAY,1.25,0.15,0.18
3SGHA,499,XRAY,1.7,0.14,0.17
3SGVB,253,XRAY,1.61,0.18,0.21
3SGWA,184,XRAY,1.7,0.14,0.17
3SGZA,352,XRAY,1.35,0.18,0.2
3SH4A,195,XRAY,1.5,0.18,0.21
3SHGA,205,XRAY,1.5,0.18,0.21
3SHGB,61,XRAY,1.5,0.18,0.21
3SHOA,187,XRAY,1.8,0.17,0.21
3SHQA,320,XRAY,1.96,0.18,0.21
3SHSA,304,XRAY,1.951,0.22,0.27
3SIBA,220,XRAY,1.9,0.16,0.19
3SIGA,277,XRAY,1.28,0.15,0.16
3SILA,379,XRAY,1.05,0.12,0.15
3SJ5A,188,XRAY,1.673,0.2,0.25
3SJHB,54,XRAY,1.75,0.17,0.2
3SJLA,373,XRAY,1.63,0.14,0.18
3SJLC,137,XRAY,1.63,0.14,0.18
3SJLD,386,XRAY,1.63,0.14,0.18
3SJMA,64,XRAY,1.35,0.17,0.21
3SJNA,374,XRAY,1.9,0.16,0.18
3SK2A,132,XRAY,1.01,0.13,0.15
3SK3A,415,XRAY,1.9,0.19,0.23
3SK7A,116,XRAY,1.5,0.16,0.2
3SK9A,265,XRAY,1.8,0.17,0.2
3SKXA,280,XRAY,1.59,0.2,0.23
3SL1A,413,XRAY,1.902,0.16,0.18
3SL2A,177,XRAY,1.61,0.21,0.23
3SL7A,180,XRAY,1.905,0.22,0.25
3SLHA,441,XRAY,1.7,0.15,0.18
3SLRA,387,XRAY,1.712,0.19,0.21
3SLZA,132,XRAY,1.4,0.18,0.2
3SM4A,229,XRAY,1.88,0.16,0.19
3SMAA,286,XRAY,2,0.2,0.25
3SMDA,153,XRAY,1.76,0.23,0.26
3SMJA,193,XRAY,1.5,0.18,0.21
3SMQA,340,XRAY,2,0.19,0.21
3SMVA,240,XRAY,1.38,0.12,0.16
3SMZA,284,XRAY,1.99,0.19,0.23
3SNFA,104,XRAY,1.1,0.16,0.18
3SNOA,315,XRAY,1.6,0.23,0.25
3SNXA,460,XRAY,1.88,0.17,0.21
3SNYA,97,XRAY,1.85,0.19,0.22
3SO5A,112,XRAY,1.7,0.21,0.22
3SO6A,137,XRAY,1.37,0.15,0.21
3SOCA,322,XRAY,1.95,0.17,0.21
3SOEA,113,XRAY,1.6,0.19,0.22
3SOJA,115,XRAY,1,0.16,0.18
3SOLA,94,XRAY,1.9,0.19,0.22
3SONA,149,XRAY,1.71,0.17,0.2
3SOVA,318,XRAY,1.27,0.15,0.18
3SOYA,145,XRAY,2,0.18,0.22
3SP7A,172,XRAY,1.4,0.17,0.18
3SQ7A,470,XRAY,2,0.18,0.21
3SQFA,114,XRAY,1.632,0.17,0.21
3SQRA,580,XRAY,1.67,0.17,0.19
3SQZA,425,XRAY,1.2,0.14,0.15
3SREA,355,XRAY,1.99,0.2,0.22
3SRIA,381,XRAY,1.6,0.18,0.2
3SRIB,29,XRAY,1.6,0.18,0.2
3SS6A,394,XRAY,1.7,0.15,0.17
3SS7X,442,XRAY,1.55,0.16,0.19
3SSBC,40,XRAY,1.8,0.16,0.19
3SSBI,32,XRAY,1.8,0.16,0.19
3SSOA,419,XRAY,1.895,0.14,0.18
3ST1A,214,XRAY,1.8,0.14,0.2
3STPA,412,XRAY,1.88,0.18,0.18
3STYA,267,XRAY,1.7,0.21,0.21
3SU6A,203,XRAY,1.1,0.15,0.17
3SUIB,37,XRAY,1.95,0.19,0.25
3SUJA,127,XRAY,1.34,0.19,0.22
3SUKA,125,XRAY,1.34,0.17,0.2
3SUMA,136,XRAY,1.87,0.17,0.22
3SUUA,525,XRAY,1.6,0.14,0.17
3SVTA,281,XRAY,2,0.18,0.22
3SWGA,425,XRAY,1.81,0.17,0.19
3SWKA,86,XRAY,1.7,0.23,0.27
3SWOA,399,XRAY,1.45,0.13,0.15
3SWYA,46,XRAY,1.9,0.2,0.22
3SX2F,278,XRAY,1.5,0.14,0.16
3SX6A,437,XRAY,1.796,0.18,0.22
3SXMA,140,XRAY,1.55,0.17,0.19
3SXUA,150,XRAY,1.85,0.19,0.21
3SXUB,138,XRAY,1.85,0.19,0.21
3SXXA,692,XRAY,1.27,0.11,0.14
3SY1A,245,XRAY,1.465,0.17,0.19
3SY6A,291,XRAY,1.9,0.17,0.21
3SYYA,216,XRAY,1.9,0.21,0.24
3SZ3A,341,XRAY,1.5,0.16,0.18
3SZ6A,121,XRAY,1.8,0.21,0.23
3SZ7A,164,XRAY,1.72,0.17,0.21
3SZAA,469,XRAY,1.48,0.17,0.19
3SZHA,122,XRAY,1.07,0.16,0.18
3SZSA,46,XRAY,1.95,0.19,0.22
3SZVA,401,XRAY,1.45,0.18,0.2
3SZYA,427,XRAY,1.35,0.2,0.21
3T0OA,238,XRAY,1.59,0.15,0.19
3T1OA,198,XRAY,1.9,0.2,0.23
3T2CA,407,XRAY,1.3,0.11,0.13
3T30B,110,XRAY,1.9,0.19,0.24
3T32A,383,XRAY,2,0.17,0.21
3T3LA,129,XRAY,1.15,0.17,0.18
3T3WA,279,XRAY,1.8,0.14,0.17
3T41A,471,XRAY,1.95,0.17,0.2
3T47A,81,XRAY,1.301,0.16,0.19
3T49A,73,XRAY,1.45,0.14,0.17
3T4LA,270,XRAY,1.53,0.18,0.2
3T4RA,81,XRAY,2,0.23,0.29
3T50A,128,XRAY,1.64,0.2,0.22
3T5GA,181,XRAY,1.7,0.2,0.23
3T5NA,354,XRAY,1.787,0.18,0.21
3T64A,181,XRAY,1.65,0.19,0.22
3T6CA,440,XRAY,1.598,0.14,0.17
3T6KA,136,XRAY,1.86,0.16,0.18
3T6QA,606,XRAY,1.9,0.19,0.23
3T6SA,357,XRAY,2,0.16,0.2
3T7AA,330,XRAY,1.7,0.18,0.21
3T7CB,299,XRAY,1.95,0.16,0.2
3T7DA,497,XRAY,1.7,0.17,0.21
3T7HA,291,XRAY,1.6,0.19,0.21
3T7LA,90,XRAY,1.09,0.17,0.15
3T7VA,350,XRAY,1.5,0.13,0.17
3T7ZA,119,XRAY,1.7,0.2,0.23
3T8IA,306,XRAY,1.8,0.17,0.21
3T8JA,311,XRAY,1.6,0.16,0.17
3T8KA,186,XRAY,1.769,0.18,0.21
3T8RA,143,XRAY,1.7,0.24,0.26
3T8WA,528,XRAY,2,0.17,0.2
3T8YA,164,XRAY,1.9,0.23,0.24
3T90A,149,XRAY,1.5,0.17,0.2
3T92A,121,XRAY,1.5,0.18,0.23
3T9WA,299,XRAY,1.5,0.17,0.2
3T9YA,150,XRAY,2,0.18,0.23
3TA6A,267,XRAY,1.41,0.13,0.15
3TAHA,272,XRAY,1.85,0.18,0.22
3TAKA,291,XRAY,1.42,0.17,0.19
3TBDA,338,XRAY,1.8,0.18,0.23
3TBHA,334,XRAY,1.68,0.19,0.22
3TBNA,87,XRAY,1.15,0.11,0.12
3TBOA,60,XRAY,1.5,0.2,0.22
3TC1A,315,XRAY,2,0.22,0.24
3TC2A,187,XRAY,1.6,0.17,0.22
3TC3A,310,XRAY,1.5,0.18,0.21
3TC8A,309,XRAY,1.06,0.11,0.13
3TCHA,524,XRAY,1.98,0.18,0.22
3TCOA,109,XRAY,1.9,0.19,0.22
3TCSA,388,XRAY,1.88,0.2,0.22
3TCVA,246,XRAY,1.75,0.16,0.19
3TD3A,123,XRAY,1.59,0.18,0.22
3TD9A,366,XRAY,1.9,0.15,0.19
3TDNA,247,XRAY,1.4,0.16,0.19
3TDSE,268,XRAY,1.975,0.18,0.2
3TDUA,200,XRAY,1.5,0.21,0.23
3TDUC,77,XRAY,1.5,0.21,0.23
3TDWA,306,XRAY,1.7,0.18,0.22
3TE4A,215,XRAY,1.46,0.14,0.2
3TE8A,127,XRAY,1.7,0.18,0.23
3TEDA,271,XRAY,2,0.2,0.25
3TEEA,219,XRAY,1.95,0.2,0.22
3TEFA,292,XRAY,1.698,0.19,0.21
3TEJA,329,XRAY,1.9,0.21,0.23
3TEKA,148,XRAY,2,0.21,0.26
3TEQA,101,XRAY,1.9,0.22,0.25
3TEWA,715,XRAY,1.45,0.19,0.22
3TFGA,189,XRAY,1.9,0.16,0.18
3TFJA,369,XRAY,1.6,0.13,0.18
3TG0A,449,XRAY,1.2,0.15,0.17
3TG2A,223,XRAY,1.101,0.13,0.14
3TG7A,951,XRAY,1.57,0.19,0.22
3TGHA,342,XRAY,1.7,0.17,0.2
3TGLA,269,XRAY,1.9,0.13,1
3TGNA,146,XRAY,2,0.19,0.25
3TGVA,148,XRAY,1.999,0.2,0.23
3THDA,654,XRAY,1.79,0.2,0.23
3THGA,107,XRAY,1.88,0.22,0.24
3THIA,371,XRAY,2,0.2,0.26
3THRA,293,XRAY,2,0.18,0.24
3TIFA,235,XRAY,1.8,0.2,0.24
3TJ4A,372,XRAY,1.5,0.15,0.17
3TJ5B,27,XRAY,1.99,0.2,0.22
3TJ8A,170,XRAY,1.591,0.19,0.21
3TJEF,156,XRAY,1.93,0.21,0.23
3TJLA,407,XRAY,1.5,0.14,0.17
3TJMA,283,XRAY,1.48,0.19,0.22
3TJRA,301,XRAY,1.6,0.17,0.19
3TJYA,94,XRAY,1.7,0.19,0.22
3TK8A,316,XRAY,1.8,0.19,0.22
3TKFA,345,XRAY,1.5,0.14,0.16
3TKKA,301,XRAY,1.99,0.18,0.24
3TLKA,326,XRAY,1.853,0.18,0.22
3TLOA,303,XRAY,1.6,0.18,0.2
3TLQA,242,XRAY,1.91,0.17,0.2
3TM4A,373,XRAY,1.95,0.18,0.2
3TM8A,328,XRAY,1.28,0.17,0.2
3TM9A,146,XRAY,1.72,0.18,0.21
3TMGA,280,XRAY,1.9,0.18,0.21
3TMKA,216,XRAY,2,0.21,0.28
3TN4A,360,XRAY,1.5,0.18,0.2
3TNJA,150,XRAY,2,0.19,0.24
3TNLA,315,XRAY,1.45,0.15,0.18
3TNYA,303,XRAY,1.55,0.17,0.19
3TO7A,276,XRAY,1.9,0.2,0.23
3TODA,335,XRAY,1.38,0.2,0.24
3TOSA,257,XRAY,1.55,0.15,0.17
3TOWA,152,XRAY,1.34,0.17,0.19
3TOXA,280,XRAY,1.93,0.2,0.26
3TOYA,383,XRAY,1.8,0.16,0.2
3TP4A,475,XRAY,1.979,0.18,0.22
3TPDA,440,XRAY,1.5,0.22,0.25
3TQ2A,36,XRAY,1.1,0.21,0.18
3TQ5A,152,XRAY,1.4,0.18,0.19
3TQ8A,178,XRAY,1.9,0.18,0.24
3TQEA,316,XRAY,1.5,0.15,0.17
3TQLA,227,XRAY,1.594,0.16,0.21
3TQQA,314,XRAY,2,0.2,0.25
3TQSC,255,XRAY,1.98,0.19,0.25
3TQTB,372,XRAY,1.88,0.18,0.22
3TR0A,205,XRAY,1.851,0.19,0.23
3TR9B,314,XRAY,1.895,0.17,0.21
3TRCA,171,XRAY,1.65,0.19,0.21
3TRDA,208,XRAY,1.5,0.17,0.2
3TRGA,98,XRAY,1.601,0.17,0.19
3TS3A,208,XRAY,1.49,0.19,0.2
3TSAA,391,XRAY,1.7,0.18,0.23
3TSOC,75,XRAY,1.8,0.2,0.25
3TT9A,233,XRAY,1.55,0.16,0.19
3TTCA,657,XRAY,1.86,0.16,0.2
3TTGA,355,XRAY,2,0.18,0.21
3TTVA,753,XRAY,1.45,0.15,0.17
3TU3A,161,XRAY,1.92,0.19,0.23
3TU3B,711,XRAY,1.92,0.19,0.23
3TU8A,210,XRAY,1.04,0.13,0.16
3TUOA,105,XRAY,1.697,0.16,0.22
3TUTA,358,XRAY,1.58,0.2,0.25
3TVJA,86,XRAY,1.28,0.16,0.2
3TVJB,242,XRAY,1.28,0.16,0.2
3TVKA,179,XRAY,1.8,0.17,0.2
3TVQA,169,XRAY,1.67,0.21,0.23
3TVTA,292,XRAY,1.6,0.22,0.24
3TVTB,50,XRAY,1.6,0.22,0.24
3TWLA,310,XRAY,1.7,0.21,0.22
3TWYA,137,XRAY,1.5,0.2,0.22
3TXSA,94,XRAY,1.81,0.19,0.22
3TXYA,199,XRAY,1.7,0.18,0.2
3TY1A,384,XRAY,1.9,0.16,0.19
3TY4A,366,XRAY,1.55,0.19,0.21
3TYPA,155,XRAY,1.9,0.21,0.27
3TYSA,88,XRAY,1.121,0.14,0.16
3TZ1A,74,XRAY,1.8,0.2,0.24
3TZ1B,24,XRAY,1.8,0.2,0.24
3TZ6A,344,XRAY,1.95,0.19,0.21
3U04A,190,XRAY,1.7,0.17,0.2
3U0BA,454,XRAY,1.7,0.14,0.16
3U0VA,239,XRAY,1.72,0.17,0.21
3U1CA,101,XRAY,1.8,0.25,0.28
3U1DA,151,XRAY,1.8,0.17,0.19
3U1LA,240,XRAY,1.64,0.17,0.19
3U1UA,137,XRAY,1.8,0.2,0.23
3U1WA,253,XRAY,2,0.19,0.21
3U1XA,236,XRAY,1.7,0.16,0.2
3U23A,65,XRAY,1.11,0.15,0.17
3U26A,234,XRAY,1.59,0.2,0.25
3U28A,400,XRAY,1.9,0.2,0.23
3U28B,58,XRAY,1.9,0.2,0.23
3U28C,114,XRAY,1.9,0.2,0.23
3U2AA,129,XRAY,1.7,0.17,0.21
3U2UA,263,XRAY,1.45,0.17,0.19
3U3GD,140,XRAY,1.4,0.17,0.19
3U3LC,233,XRAY,1.57,0.19,0.21
3U3ZA,199,XRAY,1.5,0.13,0.17
3U49A,281,XRAY,1.75,0.19,0.22
3U4GA,337,XRAY,1.9,0.17,0.22
3U4JA,528,XRAY,2,0.19,0.22
3U4VA,117,XRAY,1.8,0.18,0.2
3U52A,511,XRAY,1.95,0.18,0.23
3U52C,333,XRAY,1.95,0.18,0.23
3U52E,119,XRAY,1.95,0.18,0.23
3U5SA,126,XRAY,1.5,0.21,0.24
3U5VA,76,XRAY,1.7,0.21,0.23
3U62A,253,XRAY,1.45,0.2,0.2
3U65B,328,XRAY,1.4,0.18,0.2
3U6GA,126,XRAY,1.35,0.16,0.21
3U6PA,273,XRAY,1.6,0.19,0.2
3U7BA,327,XRAY,1.94,0.21,0.24
3U7IA,223,XRAY,1.75,0.15,0.18
3U7QA,492,XRAY,1,0.13,0.15
3U7QB,523,XRAY,1,0.13,0.15
3U7RA,190,XRAY,1.4,0.16,0.17
3U7ZA,101,XRAY,1.3,0.14,0.19
3U80A,151,XRAY,1.6,0.18,0.2
3U81A,221,XRAY,1.13,0.14,0.16
3U8EA,222,XRAY,1.31,0.19,0.19
3U8IA,124,XRAY,1.1,0.17,0.19
3U8VA,93,XRAY,1.9,0.17,0.2
3U97A,114,XRAY,1.102,0.14,0.16
3U99A,148,XRAY,1.146,0.14,0.15
3U9GA,229,XRAY,1.801,0.19,0.23
3U9JA,160,XRAY,1.603,0.17,0.22
3U9RB,555,XRAY,1.5,0.17,0.18
3U9WA,608,XRAY,1.25,0.13,0.16
3UAMA,216,XRAY,2,0.17,0.21
3UANA,269,XRAY,1.844,0.17,0.2
3UB1A,261,XRAY,1.8,0.17,0.2
3UB6A,181,XRAY,1.38,0.12,0.15
3UBCA,131,XRAY,1.65,0.21,0.24
3UBDA,304,XRAY,1.53,0.2,0.22
3UBKA,242,XRAY,1.95,0.2,0.23
3UBUB,126,XRAY,1.91,0.19,0.22
3UBYA,219,XRAY,2,0.22,0.27
3UC3A,361,XRAY,1.9,0.21,0.23
3UC9A,233,XRAY,1.8,0.2,0.22
3UCAA,324,XRAY,2,0.19,0.23
3UCEA,223,XRAY,1.798,0.18,0.22
3UCGA,89,XRAY,1.95,0.17,0.21
3UCJA,227,XRAY,1.85,0.18,0.22
3UCPA,874,XRAY,1.76,0.15,0.18
3UCQA,655,XRAY,1.97,0.15,0.19
3UCSA,102,XRAY,1.87,0.2,0.23
3UCXA,264,XRAY,1.85,0.17,0.19
3UD1A,326,XRAY,2,0.17,0.21
3UDFA,731,XRAY,1.7,0.18,0.2
3UE2A,118,XRAY,1.23,0.14,0.16
3UEBA,110,XRAY,1.98,0.21,0.25
3UENA,203,XRAY,1.9,0.18,0.22
3UESA,478,XRAY,1.6,0.16,0.19
3UF6A,291,XRAY,1.8,0.17,0.21
3UF7A,237,XRAY,1.2,0.14,0.16
3UFBA,530,XRAY,1.8,0.18,0.21
3UFEA,111,XRAY,1.5,0.16,0.2
3UFFA,65,XRAY,1.3,0.15,0.18
3UG3A,504,XRAY,1.8,0.18,0.2
3UGCA,295,XRAY,1.34,0.18,0.19
3UGFA,546,XRAY,1.7,0.17,0.19
3UGUA,380,XRAY,1.85,0.18,0.21
3UH0A,460,XRAY,2,0.2,0.26
3UHFA,274,XRAY,1.83,0.16,0.19
3UHMA,299,XRAY,1.26,0.18,0.2
3UI4A,101,XRAY,0.8,0.1,0.1
3UIDA,168,XRAY,1.571,0.19,0.21
3UJCA,266,XRAY,1.19,0.15,0.17
3UJIP,23,XRAY,1.6,0.16,0.19
3UK0A,362,XRAY,1.49,0.14,0.19
3UL0C,25,XRAY,2,0.19,0.21
3UL1A,22,XRAY,1.9,0.19,0.22
3UL4A,157,XRAY,1.95,0.18,0.21
3UL4B,65,XRAY,1.95,0.18,0.21
3ULBA,121,XRAY,1.9,0.22,0.27
3ULJA,90,XRAY,1.06,0.12,0.14
3ULTA,133,XRAY,1.4,0.17,0.19
3UMHA,211,XRAY,2,0.21,0.24
3UMOA,309,XRAY,1.696,0.18,0.21
3UMVA,506,XRAY,1.705,0.18,0.22
3UN7A,462,XRAY,2,0.2,0.23
3UNVA,547,XRAY,1.54,0.21,0.25
3UO3A,181,XRAY,1.85,0.19,0.24
3UOIA,161,XRAY,1.9,0.15,0.19
3UOXA,545,XRAY,1.956,0.19,0.23
3UP3A,243,XRAY,1.25,0.17,0.18
3UP8A,298,XRAY,1.96,0.24,0.24
3UPLA,446,XRAY,1.5,0.15,0.18
3UPSA,136,XRAY,1.75,0.16,0.19
3UPVA,126,XRAY,1.6,0.19,0.25
3UR8A,323,XRAY,1.26,0.14,0.18
3URRA,153,XRAY,1.397,0.17,0.2
3US3A,367,XRAY,1.738,0.2,0.23
3USHA,129,XRAY,1.692,0.17,0.19
3UTKA,133,XRAY,1.65,0.2,0.25
3UTMC,83,XRAY,2,0.21,0.24
3UTNX,327,XRAY,1.9,0.2,0.23
3UUEA,279,XRAY,1.45,0.16,0.19
3UULA,118,XRAY,1.95,0.2,0.23
3UUWA,308,XRAY,1.63,0.16,0.2
3UV0A,102,XRAY,1.9,0.18,0.23
3UV1A,196,XRAY,2,0.23,0.28
3UV9A,186,XRAY,1.549,0.15,0.2
3UW3A,377,XRAY,1.55,0.15,0.17
3UWBA,154,XRAY,1.7,0.16,0.17
3UWCA,374,XRAY,1.8,0.17,0.19
3UX2A,130,XRAY,1.8,0.16,0.2
3UXFA,488,XRAY,1.603,0.17,0.2
3UXJA,290,XRAY,1.401,0.13,0.17
3UZQB,114,XRAY,1.6,0.18,0.19
3UZUA,279,XRAY,1.75,0.18,0.22
3V0DA,339,XRAY,1.1,0.14,0.16
3V0RA,133,XRAY,1.9,0.17,0.19
3V0SA,337,XRAY,1.773,0.18,0.21
3V10A,321,XRAY,1.75,0.23,0.26
3V1AA,48,XRAY,0.98,0.1,0.11
3V1VA,433,XRAY,1.8,0.15,0.18
3V30A,172,XRAY,1.57,0.17,0.2
3V32B,185,XRAY,2,0.21,0.24
3V3LA,85,XRAY,1.65,0.15,0.18
3V42A,226,XRAY,2,0.21,0.27
3V46A,170,XRAY,1.549,0.17,0.21
3V4CA,528,XRAY,1.91,0.17,0.23
3V4DA,134,XRAY,1.95,0.2,0.22
3V4GA,180,XRAY,1.6,0.18,0.2
3V4KA,203,XRAY,1.38,0.18,0.21
3V4MA,105,XRAY,1.8,0.18,0.21
3V4NA,388,XRAY,1.6,0.15,0.19
3V55A,389,XRAY,1.81,0.2,0.24
3V57A,164,XRAY,1.7,0.18,0.21
3V5CA,392,XRAY,1.53,0.19,0.22
3V68A,252,XRAY,1.56,0.2,0.23
3V6GA,208,XRAY,1.821,0.21,0.25
3V6OA,206,XRAY,1.95,0.17,0.21
3V75A,301,XRAY,1.4,0.15,0.17
3V7BA,151,XRAY,1.743,0.18,0.23
3V7NA,487,XRAY,1.4,0.16,0.18
3V7QA,101,XRAY,1.55,0.2,0.23
3V8DA,491,XRAY,1.9,0.19,0.23
3V8HA,327,XRAY,1.65,0.18,0.2
3V93A,345,XRAY,2,0.22,0.23
3V96A,184,XRAY,1.9,0.22,0.27
3V9OA,143,XRAY,1.451,0.2,0.2
3V9WA,235,XRAY,1.702,0.19,0.23
